no,id,name,play_name,normalized_genre,libretto,first_author,title,subtitle,num_of_co_authors,max_degree_ids,num_of_segments,num_of_acts,num_of_speakers,num_of_speakers_male,num_of_speakers_female,num_of_speakers_unknown,num_of_person_groups,num_of_p,num_of_l,wikipedia_link_count,word_count_text,word_count_sp,word_count_stage,year_written,year_premiered,year_printed,year_normalized,average_degree,density,average_clustering,size,max_degree,num_connected_components,diameter,average_path_length
39,fre000035,anonyme-sauvages-civilises,anonyme-sauvages-civilises,,True,[anonyme],Les Sauvages ou Le Roi Bienfaisant.,Opéra National.,0,idamir,14,3,22,4,2,16,0,0,463,,4853,3469,1139,,,1789,1789,9.636363636363637,0.4588744588744589,0.8425524193572322,22,18.0,1.0,3.0,1.5887445887445888
204,fre000176,boursault-fete-de-la-seine,boursault-fete-de-la-seine,,True,Boursault,La Fête de la Seine,Divertissement en Musique,0,several characters,2,1,14,5,2,7,0,0,181,,1448,1272,61,,1690,1690,1690,13.0,1.0,1.0,14,13.0,1.0,1.0,1.0
237,fre000208,cahusac-zoroastre,cahusac-zoroastre,,True,Cahusac,Zoroastre,OPÉRA.,1,zoroastre,37,0,23,5,4,14,0,0,819,,8535,6855,1015,,,1756,1756,4.869565217391305,0.22134387351778656,0.6118012422360248,23,12.0,3.0,3.0,1.9714285714285715
242,fre000213,campistron-achille,campistron-achille,Tragedy,True,Campistron,Achille et Polixène,Tragédie en Musique,0,le-choeur,34,6,33,8,8,17,0,0,880,,6997,6326,295,,1687-11-07,1688,1687,5.212121212121212,0.16287878787878787,0.8296733642583446,33,23.0,3.0,3.0,1.982885085574572
338,fre000287,chabanon-toison-d-or,chabanon-toison-d-or,Tragedy,True,Chabanon,La Toison D'Or.,"Tragédie Lyrique, en Quatre Actes et en Vers.",0,jason|medee|choeur,18,4,10,5,3,2,0,0,587,,7346,4464,287,,,1788,1788,3.4,0.37777777777777777,0.5966666666666666,10,6.0,2.0,3.0,1.6111111111111112
370,fre000319,colle-ile-sonnante,colle-ile-sonnante,,True,Collé,"L'Ile Sonnante, Opéra Comique en Trois Actes.",,0,several characters,38,2,10,4,3,3,0,86,684,,6648,6053,296,,1731,1768,1731,6.2,0.6888888888888889,0.8642857142857142,10,8.0,1.0,3.0,1.3333333333333333
434,fre000381,corneillet-medee,corneillet-medee,,True,Corneille,Médée,Tragédie en Musique,0,le-choeur,36,6,31,4,6,21,0,0,1167,8.0,9745,9250,580,,1693-12-04,1693,1693,7.161290322580645,0.23870967741935484,0.8653135037006006,31,25.0,1.0,3.0,1.918279569892473
509,fre000440,dancourt-divertissement-de-sceaux,dancourt-divertissement-de-sceaux,Comedy,True,Dancourt,Divertissement de Sceaux,Comédie-Ballet,0,several characters,1,1,4,2,1,1,0,1,149,,1722,1620,71,,1705-08-13,1705,1705,3.0,1.0,1.0,4,3.0,1.0,1.0,1.0
524,fre000455,dancourt-impromptu-de-livry,dancourt-impromptu-de-livry,Comedy,True,Dancourt,L'Impromptu de Livry,Comédie-Ballet,0,flore,10,1,7,1,0,6,0,1,140,,1561,1235,219,,1705-08-12,1705,1705,1.7142857142857142,0.2857142857142857,0.3333333333333333,7,3.0,2.0,2.0,1.3333333333333333
525,fre000456,dancourt-impromptu-suresnes,dancourt-impromptu-suresnes,Comedy,True,Dancourt,L'Impromptu de Suresnes,Comédie-Ballet,0,la-folie,21,1,20,9,7,4,0,361,168,,9506,9260,14,,1713-05-02,1713,1713,8.9,0.46842105263157896,0.8738631221719457,20,17.0,1.0,3.0,1.5894736842105264
595,fre000522,dorneval-lesage-amours-de-nanterre,dorneval-lesage-amours-de-nanterre,,True,Dorneval,Les Amours de Nanterre,Opéra Comique,0,madame-thomas,18,1,8,5,3,0,0,244,373,,6120,5900,636,,1718,1763,1718,5.0,0.7142857142857143,0.8607142857142857,8,7.0,1.0,2.0,1.2857142857142858
597,fre000524,dorneval-lesage-opera-comique,dorneval-lesage-opera-comique,,True,Dorneval,L'Opéra Comique Assiégé,Pièce d'un Acte,1,la-comedie-italienne,17,1,17,5,3,9,0,49,315,,3895,3452,681,,1730,1730,1730,4.9411764705882355,0.3088235294117647,0.6829640947288006,17,12.0,1.0,4.0,1.9705882352941178
598,fre000525,dorneval-lesage-reine-de-barostan,dorneval-lesage-reine-de-barostan,,True,Dorneval,La Reine du Barostan,Pièce d'un Acte,0,almoraddin|assan,18,1,9,5,3,1,0,89,574,,5273,5034,850,,1730,1730,1730,4.444444444444445,0.5555555555555556,0.8000000000000002,9,7.0,1.0,3.0,1.4722222222222223
683,fre000611,fagan-isabelle-arlequin,fagan-isabelle-arlequin,,True,Fagan,Isabelle Arlequin,"Opéra-Comique en un Acte en un Acte et en Canevas, avec un Divertissement.",0,eraste,15,0,7,2,4,1,0,103,258,,3141,2896,275,,,1770,1770,2.0,0.3333333333333333,0.42857142857142855,7,4.0,2.0,2.0,1.3636363636363635
684,fre000612,fagan-momus-a-paris,fagan-momus-a-paris,,True,Fagan,Momus à Paris,Opéra-Comique en un Acte,0,momus|la-girouette,14,0,17,8,3,6,0,21,482,,4010,3630,531,,,1770,1770,2.7058823529411766,0.16911764705882354,0.7294117647058824,17,5.0,5.0,2.0,1.1481481481481481
686,fre000614,fagan-sylphe-suppose,fagan-sylphe-suppose,,True,Fagan,Le Sylphe Supposé,Opéra-Comique en un Acte en un Acte.,0,uranie,16,0,13,4,3,6,0,180,521,,6527,6333,414,,,1770,1770,3.8461538461538463,0.32051282051282054,0.723015873015873,13,9.0,3.0,3.0,1.6
690,fre000617,favart-acajou,favart-acajou,,True,Favart,"Acajou, Opéra Comique",,0,acajou,22,0,12,2,3,7,0,221,520,,7373,7133,414,,1744-03-18,1744,1744,5.0,0.45454545454545453,0.7311688311688312,12,11.0,1.0,2.0,1.5454545454545454
729,fre000654,fuzelier-legrand-animaux-raisonnables,fuzelier-legrand-animaux-raisonnables,,True,Fuzelier,Les Animaux Raisonnables,PIÈCE d'un acte,1,ulysse,15,1,12,1,1,10,0,146,163,,3585,3442,248,,1718-02-25,1718,1718,2.5,0.22727272727272727,0.3696428571428571,12,8.0,1.0,3.0,2.0454545454545454
730,fre000655,fuzelier-lesage-tableau-du-mariage,fuzelier-lesage-tableau-du-mariage,,True,Lesage,Le Tableau du Mariage,PIÈCE en un acte,1,diamantine|olivette,15,1,11,6,3,2,0,184,146,,3687,3489,258,,1716-02-03,1712,1712,5.2727272727272725,0.5272727272727272,0.799062049062049,11,9.0,1.0,3.0,1.490909090909091
733,fre000659,gabriel-laboullaye-josephine,gabriel-laboullaye-josephine,,True,Gabriel,Joséphine ou Le Retour de Wagram,Opéra en un Acte,1,le-choeur,15,1,17,3,3,11,0,169,211,,6229,5830,523,,1830-12-02,1830,1830,5.411764705882353,0.3382352941176471,0.7500891265597148,17,12.0,1.0,3.0,1.8088235294117647
855,fre000771,hoffman-phedre,hoffman-phedre,,True,Hoffmann,Phèdre,Tragédie Lyrique,0,le-choeur|phedre,21,3,21,1,3,17,0,0,864,1.0,6949,6557,341,,1786-01-01,1786,1786,8.19047619047619,0.4095238095238095,0.7981407481407481,21,15.0,1.0,3.0,1.6428571428571428
